,id,height,weight,gold,silver,bronze
count,11538.0,11208.0,10879.0,11538.0,11538.0,11538.0
mean,499988508.63052523,1.7662821199143461,72.06820479823513,0.057722308892355696,0.05676893742416363,0.061015773964291906
std,290864792.36640114,0.11271869117624643,16.17733414697665,0.2559099393361532,0.23914708351497138,0.24332020777056235
min,18347.0,1.21,31.0,0.0,0.0,0.0
25%,245099666.75,1.69,60.0,0.0,0.0,0.0
50%,500201062.5,1.76,70.0,0.0,0.0,0.0
75%,753987424.5,1.84,81.0,0.0,0.0,0.0
max,999987786.0,2.21,170.0,5.0,2.0,2.0
